2019-07-15 17:21:02,485 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2019-07-15 17:21:02,514 [     29]   INFO -        #com.intellij.idea.Main - IDE: IntelliJ IDEA (build #IC-191.7479.19, 28 May 2019 08:23) 
2019-07-15 17:21:02,514 [     29]   INFO -        #com.intellij.idea.Main - OS: Linux (5.1.16-300.fc30.x86_64, amd64) 
2019-07-15 17:21:02,514 [     29]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_202-release-1483-b53 (JetBrains s.r.o) 
2019-07-15 17:21:02,514 [     29]   INFO -        #com.intellij.idea.Main - JVM: 25.202-b53 (OpenJDK 64-Bit Server VM) 
2019-07-15 17:21:02,515 [     30]   INFO -        #com.intellij.idea.Main - JVM Args: -Didea.classpath.index.enabled=false -Didea.config.path=/home/vbmacher/projects/#other/intellij-cucumber-scala/cucumber-scala/build/idea-sandbox/config -Didea.is.internal=true -Didea.platform.prefix=Idea -Didea.plugins.path=/home/vbmacher/projects/#other/intellij-cucumber-scala/cucumber-scala/build/idea-sandbox/plugins -Didea.required.plugins.id=com.github.danielwegener.cucumber-scala -Didea.system.path=/home/vbmacher/projects/#other/intellij-cucumber-scala/cucumber-scala/build/idea-sandbox/system -Dsun.awt.disablegrab=true -Xms256m -Xmx512m -Dfile.encoding=UTF-8 -Duser.country=US -Duser.language=en -Duser.variant -ea 
2019-07-15 17:21:02,515 [     30]   INFO -        #com.intellij.idea.Main - ext: /home/vbmacher/.gradle/caches/modules-2/files-2.1/com.jetbrains/jbre/jbrx-8u202-linux-x64-b1483.53/jre/lib/ext: [sunec.jar, sunpkcs11.jar, sunjce_provider.jar, nashorn.jar, localedata.jar, jaccess.jar, cldrdata.jar, dnsns.jar, meta-index, zipfs.jar, jfxrt.jar] 
2019-07-15 17:21:02,515 [     30]   INFO -        #com.intellij.idea.Main - charsets: JNU=UTF-8 file=UTF-8 
2019-07-15 17:21:02,527 [     42]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 11 ms 
2019-07-15 17:21:02,756 [    271]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.0 (IDE-managed HiDPI) 
2019-07-15 17:21:02,757 [    272]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
2019-07-15 17:21:03,418 [    933]   INFO - m.intellij.ui.mac.touchbar.NST - OS doesn't support touchbar, skip nst loading 
2019-07-15 17:21:11,881 [   9396]   INFO - .intellij.idea.IdeaApplication - CPU cores: 4; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@243d9942[Running, parallelism = 3, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@28c8a38d 
2019-07-15 17:21:11,907 [   9422]   INFO - .intellij.idea.IdeaApplication - WM detected: i3 
2019-07-15 17:21:12,213 [   9728]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor duplicates-groovy.xml 
2019-07-15 17:21:12,217 [   9732]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor duplicates-detection-groovy.xml 
2019-07-15 17:21:12,383 [   9898]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 337 ms 
2019-07-15 17:21:12,484 [   9999]   INFO - llij.ide.plugins.PluginManager - 38 plugins initialized in 439 ms 
2019-07-15 17:21:12,484 [   9999]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: Android Support (10.3.3), Ant Support (191.7479.19), Bytecode Viewer (191.7479.19), Copyright (191.7479.19), Coverage (191.7479.19), Eclipse Integration (191.7479.19), EditorConfig (191.7479.19), Git Integration (191.7479.19), GitHub (191.7479.19), Gradle (191.7479.19), Groovy (191.7479.19), I18n for Java (191.7479.19), IDEA CORE (191.7479.19), IntelliJ Configuration Script (191.7479.19), IntelliLang (191.7479.19), JUnit (191.7479.19), Java Bytecode Decompiler (191.7479.19), Java Stream Debugger (191.7479.19), JavaFX (191.7479.19), Kotlin (1.3.21-release-IJ2019.1-3), Maven Integration (191.7479.19), Mercurial Integration (191.7479.19), Plugin DevKit (191.7479.19), Properties Support (191.7479.19), Settings Repository (191.7479.19), Smali Support (191.7479.19), Subversion (191.7479.19), Task Management (191.7479.19), Terminal (191.7479.19), TestNG-J (191.7479.19), UI Designer (191.7479.19), XPathView + XSLT Support (191.7479.19), XSLT-Debugger (191.7479.19), YAML (191.7479.19) 
2019-07-15 17:21:12,484 [   9999]   INFO - llij.ide.plugins.PluginManager - Loaded custom plugins: Cucumber for Java (191.7479.7), Cucumber for Scala (2019.1.3), Gherkin (191.6707.7), Scala (2019.1.3) 
2019-07-15 17:21:13,176 [  10691]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted: '/home/vbmacher/projects/#other/intellij-cucumber-scala/cucumber-scala/build/idea-sandbox/system/caches/names.dat' does not exist 
